Location,Lat,Long,Fog1,Fog2,PictureUrl,Description
Fontana delle Tiare, 41.90259163692, 12.457379147212, 0, 1, https://upload.wikimedia.org/wikipedia/commons/2/28/Fontana_delle_Tiare.JPG, "FOUNTAIN OF THE TIARAS This easily missed fountain located along side Largo del Colonnato, was completed in 1927 and is made of travertine. 3 basins, each catching water from 2 Vatican keys. Atop the fountain are 4 tiaras. Good place to refill your water bottle.........Leggi di più su: https://www.tripadvisor.com/Attraction_Review-g187791-d10096995-Reviews-Fontana_delle..."
Porta del Popolo, 41.911541, 12.476027, 0, 1, http://upload.wikimedia.org/wikipedia/commons/d/d6/Porta_del_Popolo.JPG, "Porta del Popolo, outer façade Porta del Popolo is a gate of the Aurelian Walls in Rome (Italy). The current Porta del Popolo was built by Pope Sixtus IV for the Jubilee Year 1475 on the site of an ancient Roman gate which, at that time, was partially buried.........Leggi di più su: https://en.wikipedia.org/wiki/Porta_del_Popolo"
Statua di Goethe, 41.910946161681, 12.487339864623, 0, 1, https://thumbs.dreamstime.com/b/statua-di-goethe-e-di-schiller-weimar-33552389.jpg, "Oeuvre du sculpteur berlinois Ernst Waegener, située place de l'Université. Le monument fut inauguré le 1er mai 1904 en souvenir des études universitaires que fit Goethe à Strasbourg, de 1770 à 1771.........Leggi di più su: https://www.archi-wiki.org/Adresse:Statue_de_Goethe_(Strasbourg)"
Piazzale delle Nazioni Unite, 41.835621699143, 12.471997379467, 0, 0, http://static.panoramio.com/photos/large/2012940.jpg, "Visualizza la mappa di Tivoli - Piazzale Nazioni Unite - CAP 00019: cerca indirizzi, vie, cap, calcola percorsi stradali e consulta la cartina della città: porta con te gli stradari Tuttocittà.........Leggi di più su: https://www.tuttocitta.it/mappa/tivoli/piazzale-nazioni-unite"
Arco di Villa Pamphilj, 41.877141594887, 12.455443739891, 1, 0, http://photos.wikimapia.org/p/00/01/06/51/20_big.jpg, "LA STORIA DI VILLA PAMPHILI Villa Pamphili, il parco La famiglia Pamphilj, originaria di Gubbio e trasferitasi a Roma nel Quattrocento, è ricordata per avere dato i natali ad Innocenzo X, il papa del Barocco, divenuto celebre, tra l’altro, per aver ordinato l’abbattimento dei campanili di Bernini.........Leggi di più su: https://www.passaggilenti.com/villa-pamphili-parco-roma"
Vascello (Il), 41.890696, 12.426419, 1, 0, https://cdn.thinglink.me/api/image/775347737473318912/1240/10/scaletowidth, "Climatisé et lumineux, l'établissement moderne Hotel Ristorante Il Vascello dispose d'une connexion Wi-Fi et d'un parking gratuits. Situé à seulement 350 mètres de la plage de sable sur la côte sud-est de la Sardaigne, il dispose d'une piscine avec un coin hydromassage.........Leggi di più su: https://www.booking.com/hotel/it/ristorante-il-vascello.fr.html"
Piazzale Ugo La Malfa, 41.885459394209, 12.484405594547, 1, 0, http://c0056906.cdn2.cloudfiles.rackspacecloud.com/173030.jpg, "His commitment to infrastructure within the Mezzogiorno has aided commerce there for fifty years. In Rome, Piazzale Romolo e Remo was renamed Piazzale Ugo La Malfa, and his hometown of Palermo named Via Ugo La Malfa in honor of him. His son, Giorgio La Malfa, is president of the party, and was Minister for European Affairs in Italy until 2006.........Leggi di più su: https://en.wikipedia.org/wiki/Ugo_La_Malfa"
Arco di Dolabella, 41.885796045509, 12.495555102456, 1, 0, http://www.archeoroma.com/Celio/arco_di_Dolabella_e_Silano-file/arco1.JPG, "The Arch of Dolabella and Silanus (Latin, Arcus Dolabellae et Silani) or Arch of Dolabella is an ancient Roman arch. It was built by senatorial decree in 10 AD by the consuls P. Cornelius Dolabella and C. Junius Silanus. The arch is located on the Caelian Hill, at the north corner of the site of the Castra Peregrina.........Leggi di più su: https://en.wikipedia.org/wiki/Arch_of_Dolabella"
Cortile della Pigna, 41.905957392121, 12.454395265745, 0, 1, http://www.musei-vaticani.it/wp-content/uploads/2017/01/cortile-della-pigna.jpg, "La Cortile della Pigna est une des cour du Musei Vaticani. Dans une des niches, au dessus d'une fontaine se trouve une grande pomme de pin en bronze entourée par deux paons (en bronze également). La cour est très agréable pour vous poser sur un banc et grignoter un morceau au…........Leggi di più su: https://www.tripadvisor.fr/Attraction_Review-g187793-d12219921-Reviews-Cortile_della..."
San Gioacchino, 41.909192459801, 12.465575427461, 0, 1, http://www.chiesamatrimonio.it/img/San%20Gioacchino/img1.JPG, "L' église San Gioacchino in Prati (en français : Église Saint-Joachim-à-Prati) est une église romaine située dans le rione de Prati sur la via Pompeo Magno à côté de la piazza dei Quiriti.........Leggi di più su: https://fr.wikipedia.org/wiki/Église_San_Gioacchino_in_Prati"
Tempio di Ercole Vincitore, 41.875339, 12.444927, 1, 0, http://www.bandb-rome.it/images/tempio_ercole_vincitore.jpg, "Il Tempio di Ercole Vincitore o Ercole Invitto o Ercole Oleario, sorge in piazza della Bocca della Verità a Roma, poco distante dal Tempio di Portuno all'interno del foro Boario.........Leggi di più su: https://it.wikipedia.org/wiki/Tempio_di_Ercole_Vincitore"
Fontana dei Tritoni, 41.888709368989, 12.481202622607, 1, 0, https://i.pinimg.com/originals/dc/8c/fc/dc8cfc3ad5be96c68fffd53909ead2b8.jpg, "A beautiful fountain from the early eighteenth century The Triton Fountain is located in Rome, at Piazza della Bocca della Verità, opposite the Basilica of Santa Maria in Cosmedin. It was completed in 1715 by architect Carlo Francesco Bizzaccheri on the occasion of work related to placing the square in front of the basilica.........Leggi di più su: https://www.tripadvisor.com/Attraction_Review-g187791-d10183986-Reviews-Fontana_Dei..."
Bernini's Elephant, 41.897990303602, 12.477484600277, 1, 0, http://2.bp.blogspot.com/-EMWNrZo7ZuQ/UFKz5JNpNLI/AAAAAAAAAvk/7L60QLgCy80/s1600/2.%2Bil%2Bpulcin%2B-%2B2-784290.JPG, "Elephant and Obelisk is the base of the smallest obelisk of Rome, with a height of 5.47 meters: there are other 12 ancient obelisks present in Rome nowadays. The statue is a sculpture designed by the Italian artist Gian Lorenzo Bernini.The elephant was probably carved by his assistant Ercole Ferrata; the Egyptian obelisk was uncovered during nearby excavations and belonged to Pharaoh Apries of ...........Leggi di più su: https://en.wikipedia.org/wiki/Elephant_and_Obelisk"
House of the Vestals, 41.891707530154, 12.48636549939, 1, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/House_of_the_Vestal_Virgins_(Atrium_Vestae)%2C_Upper_Via_Sacra%2C_Rome_(9114141425).jpg/1280px-House_of_the_Vestal_Virgins_(Atrium_Vestae)%2C_Upper_Via_Sacra%2C_Rome_(9114141425).jpg, "The House of the Vestals was rebuilt several times in the course of the Empire. After the dissolution of the College of the Vestals and the introduction of compulsory Christianity by Theodosius I in the late 4th century AD, the House of the Vestals continued to serve as a residence building.........Leggi di più su: https://en.wikipedia.org/wiki/House_of_the_Vestals"
Marcus Aurelius, 41.893360587021, 12.482759300522, 1, 0, https://upload.wikimedia.org/wikipedia/commons/3/33/L%27Image_et_le_Pouvoir_-_Buste_cuirass%C3%A9_de_Marc_Aur%C3%A8le_ag%C3%A9_-_3.jpg, "Marc Aurèle (né le 26 avril 121 à Rome et mort le 17 mars 180, probablement à Vindobona) est un empereur romain, ainsi qu'un philosophe stoïcien qui dirige l' Empire romain à son apogée. Il accède au pouvoir le 8 mars 161 et règne jusqu'à sa mort en 180, qui correspond à la fin de la Pax Romana.........Leggi di più su: https://fr.wikipedia.org/wiki/Marc_Aurèle"
Idrocronometro, 41.911707212832, 12.480698666688, 0, 1, https://malkehats.files.wordpress.com/2013/01/img_9425.jpg, "Idrocronometro del Pincio à Rome: découvrez les horaires, comment s'y rendre, comparez les prix, réservez et regardez les photos et expériences. Construit en 1867 par Giovan Battista Embriaco, ressemble à un bel exemple de l'architecture mécanique» dans l'environnement naturel de la Villa Borghese. En fait, le hydrochronometer, avec ses quadrants qui rappellent la section d'un arbre est ...........Leggi di più su: https://www.monnuage.fr/point-d-interet/idrorologio-a112874"
Passetto (Il), 41.901586458304, 12.463537499301, 0, 1, https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Passetto_di_Borgo_from_Castel_Sant'Angelo_01.jpg/1200px-Passetto_di_Borgo_from_Castel_Sant'Angelo_01.jpg, "Le Passetto di Borgo, ou simplement Passetto, (en français : petit passage) est un passage fortifié et surélevé qui relie la place Saint-Pierre de la cité du Vatican au château Saint-Ange, à Rome.........Leggi di più su: https://fr.wikipedia.org/wiki/Passetto_di_Borgo"
Ninfeo Villa Giulia, 41.918348096726, 12.475648031622, 0, 1, https://upload.wikimedia.org/wikipedia/commons/3/3e/Villa_Giulia_-_ninfeo_2099.JPG, "Villa Giulia è un edificio di Roma che si trova lungo l'attuale viale delle Belle Arti, alle pendici dei monti Parioli, non distante da via Flaminia.. Costruita come residenza estiva fuori porta di papa Giulio III, cui deve il nome, passò allo Stato italiano con la presa di Roma del 1870 e adibito in seguito a sede del Museo nazionale etrusco, sua attuale destinazione d'uso.........Leggi di più su: https://it.wikipedia.org/wiki/Villa_Giulia"
Galleria Sciarra, 41.899611026243, 12.482165744564, 1, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Galleriasciarra1.jpg/1200px-Galleriasciarra1.jpg, "La galerie Sciarra est un passage couvert de Rome, dans le quartier de Trevi.........Leggi di più su: https://fr.wikipedia.org/wiki/Galerie_Sciarra"
Montesacro, 41.935472318959, 12.534119172494, 0, 1, https://3.bp.blogspot.com/-D9RnOCWaJfQ/V-qVsdOQUpI/AAAAAAAAArs/99qbBC2xp-sNonEle8HuZPwkpef669NNwCLcB/s1600/Montesacro%2B2.JPG, "Montesacro is the name of a neighborhood of Rome, a hardscrabble working class quarter, like many others affected by the aftermath of the Second World War. Our goal is to pay an homage to those days and to the people who lived throughout that tumultuous time.........Leggi di più su: https://www.<b>montesacro</b>sf.com"
Fontana delle Anfore, 41.882849815587, 12.476099431515, 1, 0, https://studioarchihouse.files.wordpress.com/2014/07/fontana-delle-anfore-1.jpg, "La Fontana delle Anfore è una fontana di Roma. Fu realizzata dall'architetto Pietro Lombardi, vincitore dell'apposito concorso pubblico, nel 1927, pochi anni dopo l'istituzione ufficiale del rione.........Leggi di più su: https://it.wikipedia.org/wiki/Fontana_delle_Anfore"
Tomba del Beato Giovanni Paolo II, 41.90219437752, 12.457060041699, 0, 1, https://i.ytimg.com/vi/eK9_1S1ZoW8/maxresdefault.jpg, "27 febbraio 2013 S. Messa sulla tomba del Beato Giovanni Paolo II celebrata da don Luigi Pellegrini nel giorno dell'Ultima udienza del Santo Padre Benedetto XVI.........Leggi di più su: https://www.youtube.com/watch?v=YSZTBuhommM"
Obelisco del Foro Italico, 41.931927601208, 12.458839416504, 0, 1, http://www.leviedelgiubileo.it/wp-content/uploads/2016/01/extra_obelisco-foro-italico_2-1024x684.jpg, "Mussolini Obelisk at the Center of Foro Italico Touring Rome, I was intrigued that the Mussolini Obelisk (aka Il Monolito or The Monolith), is the only remaining public commemoration of Benito Mussolini, as all other Mussolini memorabilia were removed after World War II. The obelisk is made of Carrara-Marble.........Leggi di più su: https://www.tripadvisor.com/Attraction_Review-g187791-d246081-Reviews-Obelisco_del..."
Fontana dell'Acqua Felice, 41.904289307828, 12.49454498291, 0, 1, https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/RomaFontanaAcquaFelicePiazzaSanBernardo.JPG/1200px-RomaFontanaAcquaFelicePiazzaSanBernardo.JPG, "La Fontana dell'Acqua Felice (du nom de baptême du Pape Sixte V, Felice Peretti, commanditaire de la fontaine) fut bâtie par Domenico Fontana entre 1585 et 1587. C'est une fontaine en portique (tout comme al Fontana dell'Acqua Paola construite sur le même modèle).........Leggi di più su: https://fr.wikipedia.org/wiki/Fontana_dell'Acqua_Felice"
Fontana di Cinecittà Est, 41.852381304993, 12.590439319611, 0, 0, https://cinecitta.com/photo.aspx?s=1&w=850&path=%2fpublic%2fnews%2f0008%2f8825%2fIMG-8889.JPG, "Vous avez 5 manières de vous rendre de Barberini - Fontana di Trevi (métro de Rome) à Cinecittà. La moins chère est en métro, ce qui coûte 1€. La plus rapide est en taxi, ce qui prendrait 13 mins.........Leggi di più su: https://www.rome2rio.com/fr/s/Barberini-Fontana-di-Trevi-métro-de-Rome/Cinecittà"
Villa Lante, 41.893142954606, 12.460615039706, 1, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Bagnaia_Villa_Lante_04.JPG/1200px-Bagnaia_Villa_Lante_04.JPG, "La villa est connue sous le nom de « Villa Lante de Bagnaia ». Elle ne reçut toutefois cette dénomination qu'au XVIIe siècle, quand elle devint la propriété d'Ippolito Lante Montefeltro della Rovere, duc de Bomarzo, alors qu'elle existait déjà depuis une centaine d'années. Auparavant elle s'appelait la Villa Gambara.........Leggi di più su: https://fr.wikipedia.org/wiki/Villa_Lante"
Obelisco di Marconi, 41.833534457441, 12.470855712891, 0, 0, https://upload.wikimedia.org/wikipedia/commons/2/21/EUR_Obelisco_Guglielmo_Marconi_2.jpg, "L' obelisco di Marconi, o obelisco dell'EUR, è un obelisco di Roma, annoverato tra i più moderni insieme al Novecento, a quello del Foro Italico, a quelli di villa Torlonia e a quello di villa Medici. Opera dello scultore Arturo Dazzi, è intitolato al fisico, inventore e senatore Guglielmo Marconi.........Leggi di più su: https://it.wikipedia.org/wiki/Obelisco_di_Marconi"
Mausoleo di Cecilia Metella, 41.851997172595, 12.520831724659, 0, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/METELLA10223.jpg/290px-METELLA10223.jpg, "The Tomb of Caecilia Metella (Italian: Mausoleo di Cecilia Metella) is a mausoleum located just outside Rome at the three mile marker of the Via Appia.........Leggi di più su: https://en.wikipedia.org/wiki/Tomb_of_Caecilia_Metella"
Fontana del Moro, 41.897986, 12.473153160985, 1, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Piazza_Navona%2C_Roma_-_fc11.jpg/1200px-Piazza_Navona%2C_Roma_-_fc11.jpg, "Fontana del Moro (Moor Fountain) is a fountain located at the southern end of the Piazza Navona in Rome, Italy. It represents a Moor, or African (perhaps originally meant to be Neptune), standing in a conch shell, wrestling with a dolphin, surrounded by four Tritons. It is placed in a basin of rose-colored marble. Fontana del Moro, Piazza Navona (Rome) Photo by Paolo Monti, 1960. The fountain ...........Leggi di più su: https://en.wikipedia.org/wiki/Fontana_del_Moro"
Scuderie del Quirinale, 41.898794915535, 12.486595090448, 1, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/RomaScuderie-del-Quirinale.jpg/1200px-RomaScuderie-del-Quirinale.jpg, "Le Scuderie del Quirinale si trovano a Roma, in via XXIV Maggio numero 16. Nuovi orari di apertura al pubblico dal 19 giugno Da domenica a giovedì dalle ore 8.00 alle ore 23.00 (ultimo ingresso ore 21.30) Venerdì e sabato dalle ore 8.00 alle ore 1.00 (ultimo ingresso ore 23.30) Prenotazione obbligatoria Per consultare le nuove modalità di visita clicca qui. Scopri. Newsletter: iscriviti e ...........Leggi di più su: https://www.scuderiequirinale.it"
Piazza di Pasquino, 41.897855, 12.472177, 1, 0, http://www.romeartlover.it/Vasi26af.jpg, "Dedicated to Child Jesus. On Piazza Pasquino, next to Piazza Navona, is the little Natività di Gesù Church, originally built in 1692 and altered several times thereafter. This small church, now abandened and crumbling, is usually closed to the public. It is located a few steps from Piazza Navona, in the…........Leggi di più su: https://www.tripadvisor.com/Attraction_Review-g187791-d246147-Reviews-Piazza_di..."
Monte Testaccio, 41.876208831813, 12.4761295681, 1, 0, http://lh3.googleusercontent.com/-luyd5rIRonA/VWBCWtohqrI/AAAAAAABCRE/-oZKLuxBQqE/monte-testaccio-76.jpg?imgmax=800, "Le mont Testaccio (italien : Monte Testaccio ; latin Mons Testaceus ; français Mont des tessons), à Rome, est, au sens propre, un immense dépotoir romain constitué de tessons d’amphores accumulés durant l’Antiquité, situé entre le mur d’Aurélien et le Tibre, à l’extrémité sud des fortifications.Il donne son nom au quartier du Testaccio.........Leggi di più su: https://fr.wikipedia.org/wiki/Monte_Testaccio"
Villa Dei Quintili, 41.831552341943, 12.554322179517, 0, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Villa_quintili.jpg/1200px-Villa_quintili.jpg, "Située entre la villa Appia et la nouvelle via Appia, la villa des Quintili présente les ruines d’une ancienne propriété d’une riche famille romaine.. Elle appartenait aux frères Quintilii, Sex. Quintilius Condianus et Sex. Quintilius Maximus qui furent consuls en 151.Très appréciés de Marc Aurèle, les Quintilii et leurs enfants étaient des figures de l'aristocratie sénatoriale ...........Leggi di più su: https://fr.wikipedia.org/wiki/Villa_des_Quintili"
Fontana del Nettuno, 41.899332389343, 12.473052442074, 1, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Fontana_del_Nettuno_%28Bologna%29.jpg/1200px-Fontana_del_Nettuno_%28Bologna%29.jpg, "La fontaine de Neptune de Florence (Fontana del Nettuno), appelée aussi Il Biancone se trouve sur la Piazza della Signoria, juste à côté du Palazzo Vecchio.........Leggi di più su: https://fr.wikipedia.org/wiki/Fontaine_de_Neptune_(Florence)"
Palazzo Cardinal Cesi, 41.901735596063, 12.459988008357, 0, 1, https://media-cdn.tripadvisor.com/media/photo-s/05/2c/0b/5b/palazzo-cardinal-cesi.jpg, "Official website of Palazzo Cardinal Cesi , unique place close to St.Peter’s Basilica villas . Book your villa in Rome at the best price Book your villa in Rome at the best price The Palace was built in 1400 and was bought by Cardinal Pierdonato Cesi who had it restructured and refurbished, turning it into an antiques and art museum, and installing a well-endowed library.........Leggi di più su: https://www.palazzocesi.it"
Monumento a Giordano Bruno, 41.895742, 12.472226, 1, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Rome_statue_Giordano_Bruno_Campo_dei_Fiori.jpg/1200px-Rome_statue_Giordano_Bruno_Campo_dei_Fiori.jpg, "Il monumento a Giordano Bruno è una scultura in bronzo situata a Roma nel Campo de' Fiori e più precisamente nel luogo del rogo del filosofo avvenuto il 17 febbraio del 1600. La statua è stata realizzata da Ettore Ferrari ed è stata inaugurata il 9 giugno 1889.........Leggi di più su: https://it.wikipedia.org/wiki/Monumento_a_Giordano_Bruno"
Obelisco Vaticano, 41.902448705562, 12.457877401473, 0, 1, http://www.leviedelgiubileo.it/wp-content/uploads/2015/11/obelisco-vaticano-682x1024.jpg, "modifier - modifier le code - modifier Wikidata L'obélisque de la place Saint-Pierre, au Vatican. L' obélisque du Vatican est un obélisque égyptien , transporté à Rome par Caligula pour orner la spina de son nouveau cirque du Vatican . Il est érigé au centre de la place Saint-Pierre , depuis le 10 septembre 1586 , sur ordre du pape Sixte-Quint . Sommaire 1 Origine de l’obélisque 2 ...........Leggi di più su: https://fr.wikipedia.org/wiki/Obélisque_du_Vatican"
Statua di Jan Palach, 41.933866390292, 12.47469056398, 0, 1, https://media-cdn.tripadvisor.com/media/photo-s/0d/53/3a/25/statua-di-jan-palach.jpg, "Statua di Jan Palach, Rome: Address, Statua di Jan Palach Reviews: 3.5/5. Europe ; Italy ; Lazio ; Rome ; Things to Do in Rome ; Statua di Jan Palach; Search. COVID-19 Update: To limit the spread of the coronavirus, attractions may be closed or have partial closures. Please consult government travel advisories before booking. More information can be found here. Statua di Jan Palach. 3 Reviews ...........Leggi di più su: https://www.tripadvisor.com/Attraction_Review-g187791-d590557-Reviews-Statua_di_Jan..."
Monumento ad Anita Garibaldi, 41.893255812637, 12.460519865082, 1, 0, https://i.ytimg.com/vi/N5klHSg0tyc/hqdefault.jpg, "Voluto dal governo Mussolini per custodire le spoglie di Anita Garibaldi, il monumento fu realizzato dallo scultore Mario Rutelli e venne inaugurato il 4 giugno 1932 dalla regina Elena del Montenegro, nell'ambito delle celebrazioni per il 50º anniversario della morte di Giuseppe Garibaldi.........Leggi di più su: https://it.wikipedia.org/wiki/Monumento_ad_Anita_Garibaldi"
Tomba di Cecilia Metella, 41.852034271506, 12.520809318797, 0, 0, https://news.italy-museum.com/wp-content/uploads/2017/02/The-Tomb-of-Cecilia-Metella.jpg, "Il mausoleo di Cecilia Metella e il Castrum Caetani costituiscono un continuum archeologico, che sorge a Roma, poco prima del III miglio della Via Appia Antica, subito dopo il complesso costituito dal circo, dalla villa, e dal sepolcro del figlio dell'imperatore Massenzio, Valerio Romolo.........Leggi di più su: https://it.wikipedia.org/wiki/Mausoleo_di_Cecilia_Metella"
Fontana della Terrina, 41.89781, 12.468853, 1, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Fontana_della_chiesa_nuova.JPG/1200px-Fontana_della_chiesa_nuova.JPG, "La fontana della Terrina (ma il nome le fu attribuito solo diversi anni dopo l'edificazione) è una fontana romana posta attualmente in piazza della Chiesa Nuova nel rione Parione. La fontana, fino al 1899, si trovava al centro di piazza Campo de' Fiori, dove oggi c'è il monumento a Giordano Bruno di Ettore Ferrari.........Leggi di più su: https://it.wikipedia.org/wiki/Fontana_della_Terrina"
Parco Appio Claudio, 41.851573520062, 12.55954438872, 0, 0, https://s.iha.com/00181336466/Appio-claudio-Il-parco-dell-acquedotto-appio-claudio.jpeg, "Il Parco degli Acquedotti di Roma (Quartiere Appio Claudio)........Leggi di più su: https://www.parcodegliacquedotti.it"
Palazzo Ruspoli, 41.904245, 12.478983, 0, 1, https://www.palazzo-ruspoli.it/wp-content/uploads/2016/03/118.jpg, "Bed and breakfast Palazzo Ruspoli, accoglienti camere nel centro storico Le sue 15 camere a Firenze sono la soluzione perfetta per dormire nel centro storico. Sono suddivise in quattro differenti tipologie singole, doppie e triple: Deluxe, Superior con vista, Comfort e Queen.........Leggi di più su: https://www.palazzo-ruspoli.it"
Monumento a Garibaldi, 41.891471966047, 12.461180490585, 1, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/La_Spezia_-_Giuseppe_Garibaldi.jpg/1200px-La_Spezia_-_Giuseppe_Garibaldi.jpg, "Le monument à Garibaldi, à Nice, a été inauguré en 1891 sur la place Garibaldi. C'est une œuvre des sculpteurs Antoine Étex et Gustave Deloye.........Leggi di più su: https://fr.wikipedia.org/wiki/Monument_à_Garibaldi_(Nice)"
Area Sacra, 41.895548018016, 12.476700695399, 1, 0, http://ancientrome.ru/art/artwork/arch/rom/rome/area-sacra/arg01.jpg, "L’Area Sacra a été découverte entre 1926 et 1930, lorsque les chantiers d’un nouvel édifice avaient été lancés. Au IIIe siècle, la zone accueillait quatre temples, le théâtre et la curie de Pompée, lieu où Jules César fut assassiné. Puisque l’on ignore à quelles divinités étaient dédiés les temples, ces derniers ont été renommés par les lettres A, B, C et D. La ...........Leggi di più su: https://www.visitonsrome.com/area-sacra"
